Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h),,,,,
01-Apr-20,SWAS,Derriford Hospital,88,100.00%,20,22.73%,2,2.27%,0,0.00%,0,0.00%,2.4,0.24,0,41.25,10.07,21.43,14.78,0.03,,,,,
02-Apr-20,SWAS,Derriford Hospital,96,100.00%,21,21.88%,3,3.13%,1,1.04%,0,0.00%,3.35,1.14,0.11,66.5,11.08,21.87,17.73,0.03,,,,,
03-Apr-20,SWAS,Derriford Hospital,103,100.00%,32,31.07%,5,4.85%,1,0.97%,0,0.00%,5.22,1.21,0.04,62.58,13.53,24.63,23.22,0.05,,,,,
04-Apr-20,SWAS,Derriford Hospital,80,100.00%,21,26.25%,5,6.25%,0,0.00%,0,0.00%,3.09,0.65,0,55.73,11.76,22.4,15.68,0.04,,,,,
05-Apr-20,SWAS,Derriford Hospital,67,100.00%,20,29.85%,2,2.99%,0,0.00%,0,0.00%,2.14,0.07,0,33.67,11.35,23.85,12.68,0.03,,,,,
06-Apr-20,SWAS,Derriford Hospital,90,100.00%,17,18.89%,2,2.22%,0,0.00%,0,0.00%,2.35,0.33,0,45,10.04,18.95,15.05,0.03,,,,,
07-Apr-20,SWAS,Derriford Hospital,63,100.00%,9,14.29%,2,3.17%,0,0.00%,0,0.00%,1.57,0.51,0,55,8.8,19.13,9.24,0.02,,,,,
08-Apr-20,SWAS,Derriford Hospital,85,100.00%,16,18.82%,3,3.53%,0,0.00%,0,0.00%,2.34,0.54,0,46.63,9.98,19.97,14.14,0.03,,,,,
09-Apr-20,SWAS,Derriford Hospital,86,100.00%,16,18.60%,3,3.49%,1,1.16%,0,0.00%,2.68,0.72,0.02,60.95,10.65,20,15.27,0.03,,,,,
10-Apr-20,SWAS,Derriford Hospital,77,100.00%,22,28.57%,1,1.30%,0,0.00%,0,0.00%,2.22,0.05,0,33,10.55,21.98,13.54,0.03,,,,,
11-Apr-20,SWAS,Derriford Hospital,76,100.00%,10,13.16%,5,6.58%,1,1.32%,0,0.00%,2.88,1.04,0.19,71.5,10.13,21.52,12.84,0.04,,,,,
12-Apr-20,SWAS,Derriford Hospital,75,100.00%,16,21.33%,1,1.33%,0,0.00%,0,0.00%,1.73,0.01,0,30.87,10.33,20.5,12.91,0.02,,,,,
13-Apr-20,SWAS,Derriford Hospital,101,100.00%,29,28.71%,6,5.94%,1,0.99%,0,0.00%,4.4,1.38,0.06,63.7,12.52,23.07,21.08,0.04,,,,,
14-Apr-20,SWAS,Derriford Hospital,100,100.00%,26,26.00%,4,4.00%,0,0.00%,0,0.00%,3.95,0.73,0,52.22,12.38,22.58,20.63,0.04,,,,,
15-Apr-20,SWAS,Derriford Hospital,88,100.00%,19,21.59%,5,5.68%,1,1.14%,0,0.00%,4.15,1.5,0.29,77.18,11.45,23.68,16.79,0.05,,,,,
16-Apr-20,SWAS,Derriford Hospital,78,100.00%,11,14.10%,5,6.41%,0,0.00%,0,0.00%,2.31,0.61,0,43.52,10.09,20.32,13.12,0.03,,,,,
17-Apr-20,SWAS,Derriford Hospital,97,100.00%,34,35.05%,6,6.19%,0,0.00%,0,0.00%,5.67,1.67,0,59.73,13.19,24.25,21.32,0.06,,,,,
18-Apr-20,SWAS,Derriford Hospital,77,100.00%,19,24.68%,2,2.60%,0,0.00%,0,0.00%,2.09,0.2,0,38.18,10.33,20.9,13.26,0.03,,,,,
19-Apr-20,SWAS,Derriford Hospital,78,100.00%,12,15.38%,3,3.85%,0,0.00%,0,0.00%,2.02,0.4,0,45.88,8.99,20.22,11.69,0.03,,,,,
20-Apr-20,SWAS,Derriford Hospital,87,100.00%,28,32.18%,3,3.45%,0,0.00%,0,0.00%,3.72,0.37,0,40.85,12.6,25.87,18.27,0.04,,,,,
21-Apr-20,SWAS,Derriford Hospital,100,100.00%,26,26.00%,3,3.00%,0,0.00%,0,0.00%,3.56,0.48,0,41.52,11.02,21.8,18.37,0.04,,,,,
22-Apr-20,SWAS,Derriford Hospital,88,100.00%,22,25.00%,6,6.82%,1,1.14%,0,0.00%,4.69,1.53,0.06,63.3,12.47,26.13,18.29,0.05,,,,,
23-Apr-20,SWAS,Derriford Hospital,85,100.00%,27,31.76%,4,4.71%,1,1.18%,1,1.18%,5.2,1.67,0.74,104.1,13.32,25,18.88,0.06,,,,,
24-Apr-20,SWAS,Derriford Hospital,84,100.00%,24,28.57%,2,2.38%,0,0.00%,0,0.00%,3.41,0.76,0,57.95,11.31,24.35,15.84,0.04,,,,,
25-Apr-20,SWAS,Derriford Hospital,106,100.00%,40,37.74%,6,5.66%,0,0.00%,0,0.00%,5.31,0.54,0,40,13.41,25.23,23.69,0.05,,,,,
26-Apr-20,SWAS,Derriford Hospital,101,100.00%,26,25.74%,6,5.94%,1,0.99%,0,0.00%,3.71,0.76,0.03,61.52,12.61,21.85,21.22,0.04,,,,,
27-Apr-20,SWAS,Derriford Hospital,100,100.00%,36,36.00%,6,6.00%,0,0.00%,0,0.00%,4.8,0.59,0,39.52,13.21,26.48,22.01,0.05,,,,,
28-Apr-20,SWAS,Derriford Hospital,92,100.00%,15,16.30%,2,2.17%,0,0.00%,0,0.00%,2.16,0.14,0,37.3,8.34,22.05,12.79,0.02,,,,,
29-Apr-20,SWAS,Derriford Hospital,108,100.00%,39,36.11%,10,9.26%,0,0.00%,0,0.00%,7.31,1.78,0,55.85,14.36,28.17,25.85,0.07,,,,,
30-Apr-20,SWAS,Derriford Hospital,97,100.00%,17,17.53%,1,1.03%,0,0.00%,0,0.00%,2.19,0.18,0,40.88,9.92,19,16.03,0.02,,,,,
