Month Year,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Count of Handovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Apr-20,EEAST,Addenbrookes Hospital,"1,856",92.66%,"1,095",59.00%,141,7.60%,13,0.70%,1,0.05%,151.2,25.42,3.01,107.82,18.25,29,564.46,0.08
Apr-20,NWAS,Aintree University,"1,442",67.95%,707,49.03%,87,6.03%,1,0.07%,0,0.00%,83.92,11.52,0.25,74.73,16.38,25.37,393.57,0.06
Apr-20,YAS,Airedale General Hospital,449,52.15%,160,35.63%,31,6.90%,1,0.22%,0,0.00%,22.25,3.32,0.06,63.83,12.58,24.3,94.12,0.05
Apr-20,WMAS,Alexandra,"1,404",95.58%,556,39.60%,28,1.99%,0,0.00%,0,0.00%,44.54,2.36,0,47.43,14.94,20.96,349.69,0.03
Apr-20,NWAS,Arrowe Park,"1,435",74.97%,797,55.54%,148,10.31%,6,0.42%,0,0.00%,120.25,18.49,0.93,73,18.13,30.21,433.6,0.08
Apr-20,LAS,Barnet,"1,194",94.76%,907,75.96%,252,21.11%,56,4.69%,56,4.69%,231.76,94.74,40.08,237.82,25.77,45.05,512.86,0.19
Apr-20,YAS,Barnsley District General,"1,270",82.09%,473,37.24%,82,6.46%,4,0.31%,0,0.00%,71,13.23,0.71,78.08,14.11,25.47,298.76,0.06
Apr-20,EEAST,Basildon & Thurrock Hospital,"1,820",90.73%,"1,110",60.99%,130,7.14%,3,0.16%,0,0.00%,133.1,14.95,0.21,66.82,18.08,27.66,548.51,0.07
Apr-20,EMAS,Bassetlaw District General Hospital,638,100.00%,448,70.22%,112,17.55%,7,1.10%,1,0.16%,229.14,51.48,2.12,92.33,21.71,34.41,230.86,0.36
Apr-20,EEAST,Bedford Hospital South Wing,"1,219",91.86%,669,54.88%,67,5.50%,3,0.25%,1,0.08%,77.71,8.89,0.89,95,16.57,26.22,336.61,0.06
