Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
31-Dec-22,EEAST,Addenbrookes Hospital,52,78.79%,45,86.54%,36,69.23%,30,57.69%,21,40.38%,68.39,58.49,42.23,291.47,93.34,217.05,80.9,1.32
31-Dec-22,NWAS,Aintree University,42,73.68%,37,88.10%,26,61.90%,18,42.86%,11,26.19%,42.58,34.86,24.51,373.48,75.43,148.78,52.8,1.01
31-Dec-22,YAS,Airedale General Hospital,45,97.83%,23,51.11%,13,28.89%,7,15.56%,1,2.22%,10.83,6.42,2.15,132.72,26.53,60.72,19.9,0.24
31-Dec-22,WMAS,Alexandra,55,93.22%,41,74.55%,25,45.45%,16,29.09%,11,20.00%,41.58,33.92,23.7,390,59.26,133.68,54.32,0.76
31-Dec-22,NWAS,Arrowe Park,16,35.56%,14,87.50%,12,75.00%,11,68.75%,6,37.50%,34.43,31.21,25.3,507.43,143.63,420.57,38.3,2.15
31-Dec-22,LAS,Barnet,34,89.47%,32,94.12%,24,70.59%,11,32.35%,7,20.59%,23.69,16.96,8.92,196.2,56.69,115.17,32.13,0.7
31-Dec-22,EEAST,Barnet General Hospital,10,83.33%,7,70.00%,7,70.00%,3,30.00%,2,20.00%,9.16,7.41,5.1,237.48,69.67,161.78,11.61,0.92
31-Dec-22,YAS,Barnsley District General,70,90.91%,56,80.00%,38,54.29%,19,27.14%,10,14.29%,39.27,27.82,13.98,259.83,47.26,96.63,55.14,0.56
31-Dec-22,EEAST,Basildon & Thurrock Hospital,32,53.33%,29,90.63%,24,75.00%,17,53.13%,13,40.63%,55.1,48.36,38.81,386.77,118.08,273.47,62.98,1.72
31-Dec-22,EMAS,Bassetlaw District General Hospital,25,100.00%,21,84.00%,13,52.00%,10,40.00%,6,24.00%,26.96,21.67,15.73,331,71.35,141.7,29.73,1.08
31-Dec-22,EEAST,Bedford Hospital South Wing,37,84.09%,30,81.08%,24,64.86%,20,54.05%,15,40.54%,53.11,46.54,35.89,337.58,100.91,298.82,62.23,1.44
31-Dec-22,WMAS,Birmingham Childrens,15,83.33%,3,20.00%,0,0.00%,0,0.00%,0,0.00%,0.23,0,0,20.15,11.98,19.48,3,0.02
31-Dec-22,NWAS,Blackpool Victoria,73,77.66%,65,89.04%,37,50.68%,18,24.66%,6,8.22%,34.91,22.84,10.05,174.52,43.23,82.35,52.6,0.48
31-Dec-22,EMAS,Boston Pilgrim Hospital,48,100.00%,47,97.92%,42,87.50%,32,66.67%,31,64.58%,258.93,246.37,224.73,800,329.65,660.2,263.72,5.39
31-Dec-22,YAS,Bradford Royal Infirmary,95,96.94%,22,23.16%,9,9.47%,0,0.00%,0,0.00%,5.32,1.58,0,52.75,11.35,28.47,17.97,0.06
31-Dec-22,SWAS,Bristol Royal Hosp For Children,14,100.00%,7,50.00%,2,14.29%,1,7.14%,1,7.14%,6.03,4.87,4.15,308.98,37.9,43.47,8.84,0.43
31-Dec-22,SWAS,Bristol Royal Infirmary,61,100.00%,54,88.52%,50,81.97%,43,70.49%,36,59.02%,132.58,119.66,96.64,625.68,144.43,281.4,146.84,2.17
31-Dec-22,EEAST,Broomfield Hospital,54,90.00%,50,92.59%,45,83.33%,28,51.85%,15,27.78%,59.7,47.84,29.54,245.9,81.21,174.85,73.09,1.11
31-Dec-22,WMAS,Burton,35,87.50%,35,100.00%,17,48.57%,9,25.71%,3,8.57%,16.09,9.63,3.53,121.1,42.57,80.93,24.84,0.46
31-Dec-22,YAS,Calderdale Royal Hospital,47,95.92%,22,46.81%,9,19.15%,0,0.00%,0,0.00%,4.62,1.32,0,51.97,16.29,37.15,12.76,0.1
31-Dec-22,LAS,Charing Cross,51,94.44%,16,31.37%,4,7.84%,0,0.00%,0,0.00%,2.26,0.34,0,42.03,12.59,26.25,10.7,0.04
31-Dec-22,LAS,Chelsea & Westminster,45,83.33%,19,42.22%,0,0.00%,0,0.00%,0,0.00%,1.21,0,0,23.58,13.9,21.1,10.42,0.03
