Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
01-Apr-20,SWAS,Treliske Hospital,70,100.00%,21,30.00%,1,1.43%,0,0.00%,0,0.00%,2.6,0.3,0,48.18,11.93,23.15,13.92,0.04
02-Apr-20,SWAS,Treliske Hospital,74,100.00%,22,29.73%,3,4.05%,0,0.00%,0,0.00%,2.59,0.6,0,52.45,11.65,19.43,14.36,0.03
03-Apr-20,SWAS,Treliske Hospital,68,100.00%,18,26.47%,3,4.41%,0,0.00%,0,0.00%,2.23,0.52,0,53.08,11.84,20.4,13.42,0.03
04-Apr-20,SWAS,Treliske Hospital,57,100.00%,24,42.11%,8,14.04%,1,1.75%,0,0.00%,5.56,1.56,0.16,69.6,16.72,34.02,15.89,0.1
05-Apr-20,SWAS,Treliske Hospital,78,100.00%,25,32.05%,2,2.56%,0,0.00%,0,0.00%,3.12,0.19,0,38.43,12.39,25.18,16.1,0.04
06-Apr-20,SWAS,Treliske Hospital,81,100.00%,35,43.21%,5,6.17%,0,0.00%,0,0.00%,4.78,0.97,0,55.92,14.97,24.62,20.2,0.06
07-Apr-20,SWAS,Treliske Hospital,51,100.00%,10,19.61%,1,1.96%,0,0.00%,0,0.00%,0.85,0.14,0,38.22,9.9,16.78,8.42,0.02
08-Apr-20,SWAS,Treliske Hospital,65,100.00%,23,35.38%,6,9.23%,0,0.00%,0,0.00%,3.66,0.45,0,43.25,13.92,28.67,15.08,0.06
09-Apr-20,SWAS,Treliske Hospital,59,100.00%,17,28.81%,3,5.08%,1,1.69%,0,0.00%,3.05,0.8,0.18,70.55,13.36,29.18,13.13,0.05
10-Apr-20,SWAS,Treliske Hospital,52,100.00%,17,32.69%,3,5.77%,0,0.00%,0,0.00%,2.78,0.33,0,39.65,12.57,28.13,10.89,0.05
