Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
08-Nov-22,EEAST,Addenbrookes Hospital,72,92.31%,50,69.44%,24,33.33%,5,6.94%,0,0.00%,15.97,7.38,0.63,75.07,27.02,52.03,32.43,0.22
08-Nov-22,NWAS,Aintree University,51,62.20%,49,96.08%,42,82.35%,31,60.78%,25,49.02%,79.37,67.92,50.2,471.65,108.28,221.6,92.04,1.56
08-Nov-22,YAS,Airedale General Hospital,31,73.81%,11,35.48%,4,12.90%,1,3.23%,0,0.00%,2.59,0.92,0.03,61.82,17.25,33.13,8.91,0.08
08-Nov-22,WMAS,Alexandra,50,90.91%,38,76.00%,26,52.00%,13,26.00%,7,14.00%,37.91,30.63,21.2,454,59.62,119.92,49.68,0.76
08-Nov-22,NWAS,Arrowe Park,33,66.00%,26,78.79%,15,45.45%,9,27.27%,8,24.24%,20.4,15.31,9.71,183.97,51.48,133.37,28.31,0.62
08-Nov-22,LAS,Barnet,39,82.98%,33,84.62%,15,38.46%,5,12.82%,2,5.13%,12.22,6.42,2.37,126.4,32.82,60.7,21.33,0.31
08-Nov-22,EEAST,Barnet General Hospital,10,76.92%,9,90.00%,5,50.00%,3,30.00%,2,20.00%,5.68,3.82,2.11,124.77,49,121.33,8.17,0.57
08-Nov-22,YAS,Barnsley District General,55,91.67%,33,60.00%,11,20.00%,7,12.73%,3,5.45%,12.72,7.61,3.51,126.77,26.92,71.62,24.68,0.23
08-Nov-22,EEAST,Basildon & Thurrock Hospital,50,72.46%,44,88.00%,31,62.00%,22,44.00%,18,36.00%,50.98,41.48,28.48,270.67,75.75,161.07,63.12,1.02
08-Nov-22,EMAS,Bassetlaw District General Hospital,27,100.00%,19,70.37%,2,7.41%,0,0.00%,0,0.00%,7.72,0.99,0,54.45,19.82,26.87,8.92,0.29
08-Nov-22,EEAST,Bedford Hospital South Wing,52,88.14%,25,48.08%,11,21.15%,4,7.69%,3,5.77%,12.46,8.34,5.03,195.27,28.3,47.12,24.53,0.24
08-Nov-22,WMAS,Birmingham Childrens,24,85.71%,15,62.50%,1,4.17%,0,0.00%,0,0.00%,1.17,0.03,0,31.8,16.36,23.35,6.55,0.05
08-Nov-22,NWAS,Blackpool Victoria,57,86.36%,54,94.74%,42,73.68%,27,47.37%,17,29.82%,52.44,40.69,24.36,265.03,69.96,150.25,66.47,0.92
08-Nov-22,EMAS,Boston Pilgrim Hospital,66,100.00%,65,98.48%,39,59.09%,19,28.79%,18,27.27%,97.59,78.82,59.75,453.27,91.42,268.8,100.56,1.48
08-Nov-22,YAS,Bradford Royal Infirmary,73,75.26%,27,36.99%,6,8.22%,0,0.00%,0,0.00%,4.5,0.88,0,54.62,14.56,28.23,17.72,0.06
08-Nov-22,SWAS,Bristol Royal Hosp For Children,18,100.00%,12,66.67%,5,27.78%,0,0.00%,0,0.00%,3.37,1.23,0,56.53,24.58,46.38,7.38,0.19
08-Nov-22,SWAS,Bristol Royal Infirmary,74,100.00%,66,89.19%,56,75.68%,38,51.35%,23,31.08%,105.68,90.34,65.6,529.83,99.66,243.2,122.91,1.43
08-Nov-22,EEAST,Broomfield Hospital,60,96.77%,50,83.33%,23,38.33%,8,13.33%,5,8.33%,21.59,12.61,6.52,153.42,36.08,68.92,36.08,0.36
08-Nov-22,WMAS,Burton,36,90.00%,33,91.67%,17,47.22%,8,22.22%,3,8.33%,15.58,9.38,3.24,103.08,40.9,81.65,24.54,0.43
08-Nov-22,YAS,Calderdale Royal Hospital,29,46.77%,18,62.07%,6,20.69%,1,3.45%,0,0.00%,4.36,1.24,0.14,68.18,21.8,36.47,10.54,0.15
08-Nov-22,LAS,Charing Cross,42,95.45%,17,40.48%,1,2.38%,0,0.00%,0,0.00%,1.43,0.1,0,36.25,13.43,21.8,9.4,0.03
08-Nov-22,LAS,Chelsea & Westminster,55,96.49%,30,54.55%,2,3.64%,0,0.00%,0,0.00%,3.1,0.55,0,55.48,16,24.3,14.66,0.06
08-Nov-22,SWAS,Cheltenham General Hospital,18,100.00%,13,72.22%,5,27.78%,3,16.67%,1,5.56%,5.1,3,1.11,102.82,29.7,73.6,8.91,0.28
08-Nov-22,EMAS,Chesterfield Royal Hospital,67,100.00%,34,50.75%,5,7.46%,0,0.00%,0,0.00%,12.39,1.36,0,39.03,16.34,25.78,18.25,0.18
08-Nov-22,WMAS,City (Birmingham),70,90.91%,29,41.43%,7,10.00%,1,1.43%,0,0.00%,5.23,1.59,0.25,75.03,16.89,27.7,19.71,0.07
08-Nov-22,EEAST,Colchester General Hospital,69,75.82%,66,95.65%,53,76.81%,42,60.87%,34,49.28%,103.97,89.14,66.05,261.47,105.32,231.5,121.12,1.51
08-Nov-22,SECAmb,Conquest Hospital,54,90.00%,44,81.48%,8,14.81%,0,0.00%,0,0.00%,5.48,0.43,0,40.9,20.61,30.1,18.55,0.1
08-Nov-22,NWAS,Countess Of Chester,22,75.86%,18,81.82%,5,22.73%,1,4.55%,1,4.55%,3.9,1.51,0.71,102.38,25.2,34.13,9.24,0.18
08-Nov-22,WMAS,County Hospital (Stafford),36,100.00%,23,63.89%,5,13.89%,1,2.78%,0,0.00%,3.81,1.39,0.05,62.78,20.16,34.82,12.09,0.11
08-Nov-22,LAS,Croydon University (Mayday),65,75.58%,54,83.08%,20,30.77%,15,23.08%,11,16.92%,48.1,38.91,30.52,550.85,59.04,160.6,63.96,0.74
08-Nov-22,NWAS,Cumberland Infirmary,31,77.50%,24,77.42%,12,38.71%,4,12.90%,0,0.00%,8.9,4.37,1.05,78.15,30.83,71.6,15.93,0.29
08-Nov-22,SECAmb,Darent Valley Hospital,58,89.23%,44,75.86%,8,13.79%,0,0.00%,0,0.00%,6.33,1.3,0,56.13,21.07,33.57,20.37,0.11
08-Nov-22,NEAS,Darlington Memorial A&E,33,84.62%,25,75.76%,14,42.42%,7,21.21%,2,6.06%,11.32,10.71,7.81,112.33,34.59,77.92,19.03,0.34
08-Nov-22,SWAS,Derriford Hospital,74,100.00%,62,83.78%,51,68.92%,44,59.46%,40,54.05%,381.94,368.18,344.47,"1,562.50",323.3,961.67,398.74,5.16
08-Nov-22,YAS,Doncaster Royal Infirmary,60,82.19%,47,78.33%,35,58.33%,21,35.00%,6,10.00%,29.53,19.39,6.4,112.33,42.81,86.57,42.81,0.49
08-Nov-22,SWAS,Dorset County Hospital,43,100.00%,6,13.95%,1,2.33%,0,0.00%,0,0.00%,0.75,0.13,0,37.6,8.59,16.35,6.16,0.02
08-Nov-22,LAS,Ealing,40,97.56%,28,70.00%,22,55.00%,13,32.50%,8,20.00%,23.37,16.99,8.71,158.07,48.58,108.12,32.39,0.58
08-Nov-22,SECAmb,East Surrey Hospital,92,97.87%,78,84.78%,31,33.70%,0,0.00%,0,0.00%,18.75,6.1,0,57.32,26.75,45.7,41.02,0.2
08-Nov-22,SECAmb,Eastbourne Dgh,56,90.32%,38,67.86%,7,12.50%,1,1.79%,0,0.00%,5.1,1.58,0.41,84.42,19.23,31.17,17.95,0.09
08-Nov-22,SECAmb,Epsom Hospital,39,100.00%,32,82.05%,11,28.21%,3,7.69%,2,5.13%,9.57,4.33,1.53,111.67,29.34,50.35,19.07,0.25
08-Nov-22,NWAS,Fairfield General,32,62.75%,13,40.63%,1,3.13%,0,0.00%,0,0.00%,1.31,0.03,0,31.9,13.84,23.67,7.38,0.04
08-Nov-22,SCAS,Frimley Park Hospital,26,100.00%,22,84.62%,2,7.69%,0,0.00%,0,0.00%,3.35,0.37,0,42.15,22.44,29.37,9.72,0.13
08-Nov-22,SECAmb,Frimley Park Hospital,55,93.22%,46,83.64%,4,7.27%,0,0.00%,0,0.00%,6.28,0.26,0,38.43,21.51,27.92,19.72,0.11
08-Nov-22,NWAS,Furness General,19,90.48%,8,42.11%,3,15.79%,1,5.26%,0,0.00%,2.24,1.19,0.25,74.92,18.22,43.3,5.77,0.12
08-Nov-22,WMAS,George Elliot,37,97.37%,33,89.19%,14,37.84%,3,8.11%,0,0.00%,10.63,5.36,0.41,75.87,32.05,59.43,19.76,0.29
08-Nov-22,EMAS,Glenfield General Hospital,20,100.00%,9,45.00%,4,20.00%,0,0.00%,0,0.00%,5.83,2.66,0,54.78,18.08,40.05,6.03,0.29
08-Nov-22,SWAS,Gloucester Royal Hospital,83,100.00%,68,81.93%,43,51.81%,26,31.33%,17,20.48%,48.3,34.35,17.33,147.78,49.53,114.35,68.51,0.58
08-Nov-22,WMAS,Good Hope,66,82.50%,58,87.88%,43,65.15%,22,33.33%,12,18.18%,50.96,38.64,23.52,250,60.95,153.23,67.05,0.77
08-Nov-22,SWAS,Great Western Hospital,61,100.00%,52,85.25%,41,67.21%,33,54.10%,29,47.54%,119.45,107.85,90.34,485.17,131.38,328.72,133.57,1.96
08-Nov-22,EMAS,Grimsby Diana Princess Of Wales,55,100.00%,22,40.00%,2,3.64%,0,0.00%,0,0.00%,8.39,0.79,0,37.62,15.55,25.73,14.25,0.15
08-Nov-22,YAS,Harrogate District Hospital,25,60.98%,20,80.00%,11,44.00%,6,24.00%,3,12.00%,11.14,7.63,3.86,189.55,40.59,84.87,16.91,0.45
08-Nov-22,WMAS,Heartlands,97,89.81%,86,88.66%,55,56.70%,28,28.87%,19,19.59%,60.8,43.81,25.58,179.32,52.24,141.15,84.46,0.63
08-Nov-22,WMAS,Hereford County,39,92.86%,15,38.46%,1,2.56%,0,0.00%,0,0.00%,1.23,0.02,0,31.18,14.33,19.62,9.32,0.03
08-Nov-22,LAS,Hillingdon,62,96.88%,37,59.68%,16,25.81%,0,0.00%,0,0.00%,7.85,1.74,0,45.18,19.55,37.18,20.2,0.13
08-Nov-22,EEAST,Hinchingbrooke Hospital,37,100.00%,15,40.54%,3,8.11%,1,2.70%,0,0.00%,3.07,0.93,0.32,79.07,17.48,28.08,10.78,0.08
08-Nov-22,LAS,Homerton,45,90.00%,20,44.44%,1,2.22%,0,0.00%,0,0.00%,1.54,0,0,30.02,13.28,22.28,9.96,0.03
08-Nov-22,SCAS,Horton General Hospital,17,80.95%,9,52.94%,0,0.00%,0,0.00%,0,0.00%,0.73,0,0,29.33,16.02,20.27,4.54,0.04
08-Nov-22,YAS,Huddersfield Royal Infirmary,28,53.85%,22,78.57%,8,28.57%,0,0.00%,0,0.00%,4.82,1.12,0,49.27,24.55,37.95,11.46,0.17
08-Nov-22,YAS,Hull Royal Infirmary,46,54.12%,39,84.78%,32,69.57%,22,47.83%,17,36.96%,54.82,46.02,32.66,297.48,84.82,190.37,65.03,1.19
08-Nov-22,EEAST,Ipswich Hospital,49,77.78%,42,85.71%,23,46.94%,12,24.49%,10,20.41%,35.07,27.42,20.04,274.55,57.6,170.78,47.04,0.72
08-Nov-22,NEAS,James Cook A&E,32,53.33%,28,87.50%,24,75.00%,16,50.00%,8,25.00%,28.89,28.2,24.5,238.08,68.01,219.12,36.27,0.9
08-Nov-22,EEAST,James Paget Hospital,44,89.80%,40,90.91%,37,84.09%,27,61.36%,23,52.27%,81.91,72.31,56.97,386.32,126.09,278.5,92.46,1.86
08-Nov-22,SCAS,John Radcliffe Hospital,98,80.99%,49,50.00%,14,14.29%,2,2.04%,0,0.00%,9.54,3.27,0.14,66.32,18.59,32.42,30.36,0.1
