Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
31-Oct-22,WMAS,Royal Shrewsbury,34,75.56%,33,97.06%,26,76.47%,23,67.65%,20,58.82%,99.04,91.77,79.02,973,189.64,406.23,107.46,2.91
30-Oct-22,WMAS,Royal Shrewsbury,30,68.18%,28,93.33%,25,83.33%,18,60.00%,16,53.33%,106.54,100.09,90.09,994,227.8,637.2,113.9,3.55
29-Oct-22,WMAS,Royal Shrewsbury,31,63.27%,28,90.32%,22,70.97%,17,54.84%,17,54.84%,157.8,151.55,141.92,"1,179.00",319.28,994,164.96,5.09
28-Oct-22,WMAS,Royal Shrewsbury,42,68.85%,40,95.24%,36,85.71%,27,64.29%,24,57.14%,195.71,186.36,170.66,"1,174.00",294.4,795.6,206.08,4.66
27-Oct-22,WMAS,Royal Shrewsbury,20,42.55%,20,100.00%,18,90.00%,11,55.00%,9,45.00%,55.08,50.27,43.31,779,180.24,481.9,60.08,2.75
26-Oct-22,WMAS,Royal Shrewsbury,38,70.37%,37,97.37%,34,89.47%,29,76.32%,26,68.42%,176.2,167.2,151.61,"1,023.00",293.12,762,185.64,4.64
25-Oct-22,WMAS,Royal Shrewsbury,46,77.97%,44,95.65%,39,84.78%,30,65.22%,27,58.70%,184.46,174.02,156.73,872,255.43,663,195.83,4.01
24-Oct-22,WMAS,Royal Shrewsbury,39,62.90%,37,94.87%,35,89.74%,30,76.92%,29,74.36%,219.3,210.22,194.07,"1,080.00",352.31,939.6,229,5.62
23-Oct-22,WMAS,Royal Shrewsbury,37,75.51%,36,97.30%,27,72.97%,21,56.76%,13,35.14%,82.7,74.88,63.1,"1,161.00",148.98,278.47,91.87,2.24
22-Oct-22,WMAS,Royal Shrewsbury,37,77.08%,35,94.59%,31,83.78%,23,62.16%,17,45.95%,74.79,66.44,52.81,473,135.52,289.97,83.57,2.02
21-Oct-22,WMAS,Royal Shrewsbury,44,80.00%,39,88.64%,33,75.00%,22,50.00%,17,38.64%,60.85,51.69,37.88,382,97.44,231.02,71.46,1.38
20-Oct-22,WMAS,Royal Shrewsbury,37,86.05%,34,91.89%,23,62.16%,13,35.14%,10,27.03%,30.56,23.84,15.65,202.3,64.25,164.08,39.62,0.83
19-Oct-22,WMAS,Royal Shrewsbury,37,84.09%,35,94.59%,15,40.54%,3,8.11%,2,5.41%,12.33,6.2,2.56,142.3,34.85,53.07,21.49,0.33
18-Oct-22,WMAS,Royal Shrewsbury,49,76.56%,47,95.92%,38,77.55%,27,55.10%,18,36.73%,74.79,63.86,47.6,535,106.45,278.23,86.93,1.53
17-Oct-22,WMAS,Royal Shrewsbury,46,71.88%,43,93.48%,40,86.96%,31,67.39%,26,56.52%,167.38,157.01,139.04,865,233.02,549.5,178.65,3.64
16-Oct-22,WMAS,Royal Shrewsbury,43,76.79%,42,97.67%,39,90.70%,33,76.74%,30,69.77%,233.16,222.84,204.97,"1,138.00",340.24,720.4,243.84,5.42
15-Oct-22,WMAS,Royal Shrewsbury,32,61.54%,30,93.75%,22,68.75%,19,59.38%,16,50.00%,82.04,75.72,64.97,639,168.65,440.9,89.95,2.56
14-Oct-22,WMAS,Royal Shrewsbury,39,81.25%,36,92.31%,30,76.92%,23,58.97%,17,43.59%,76.77,68.59,56.16,470,132.49,300.07,86.12,1.97
13-Oct-22,WMAS,Royal Shrewsbury,22,48.89%,21,95.45%,18,81.82%,17,77.27%,16,72.73%,111.49,106.6,97.75,880,318.92,795.3,116.94,5.07
