Month Year,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Apr-20,EEAST,"18,407",88.67%,67.53%,"3,656",13.41%,288,1.06%,77,0.28%,"3,063.77",688.42,118.86,383.08,20.3,32.65,"9,220.60",0.11
Apr-20,EMAS,"19,453",100.00%,64.57%,"4,355",14.45%,268,0.89%,61,0.20%,"9,988.48","2,047.49",164.51,352.83,20.25,32.3,"10,169.83",0.33
Apr-20,IOW,400,49.26%,109.29%,73,19.95%,14,3.83%,5,1.37%,70.59,21.28,5.6,182.52,34.56,29.3,210.82,0.19
Apr-20,LAS,"27,133",94.73%,68.18%,"5,800",14.58%,354,0.89%,354,0.89%,"4,661.13","1,012.47",228.12,348.45,20.65,32.01,"13,695.73",0.12
Apr-20,NEAS,"5,236",69.80%,48.58%,535,4.96%,24,0.22%,1,0.01%,594.86,205.94,22.2,107.35,15.71,51.57,"2,822.18",0.06
Apr-20,NWAS,"15,427",60.78%,62.21%,"3,403",13.72%,171,0.69%,35,0.14%,"2,612.49",576.73,55.99,153.15,19.76,32.41,"8,168.43",0.11
Apr-20,SCAS,"5,757",75.54%,38.99%,485,3.28%,30,0.20%,8,0.05%,614.97,77.93,9.05,136.2,14.88,20.99,"3,660.52",0.04
Apr-20,SECAmb,"16,538",91.92%,62.91%,"2,587",9.84%,99,0.38%,13,0.05%,"2,304.41",373.5,23.41,145.68,18.84,28.6,"8,252.11",0.09
Apr-20,SWAS,"7,645",100.00%,26.51%,"1,265",4.39%,77,0.27%,12,0.04%,"1,091.75",214.82,20.14,128.22,12.03,22.53,"5,780.37",0.04
Apr-20,WMAS,"19,955",86.51%,57.38%,"2,300",6.61%,63,0.18%,14,0.04%,"2,434.49",281.61,18.32,133.13,17.71,26.19,"10,261.71",0.07
