Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
01-Apr-20,EEAST,640,85.00%,71.51%,164,18.32%,21,2.35%,9,1.01%,129.52,42.31,9.55,143.77,22.54,37.86,336.21,0.14
01-Apr-20,EMAS,744,100.00%,67.95%,169,15.43%,10,0.91%,1,0.09%,383.67,79.2,6.37,166.1,21.11,34.06,385.23,0.35
01-Apr-20,IOW,19,61.54%,118.75%,2,12.50%,0,0.00%,0,0.00%,2.5,0.28,0,42,30.87,28.98,8.23,0.16
01-Apr-20,LAS,"1,074",94.36%,78.22%,400,29.13%,60,4.37%,60,4.37%,281.57,108.04,27.43,166.62,26.26,43.93,600.89,0.21
01-Apr-20,NEAS,207,67.91%,54.33%,35,9.19%,3,0.79%,1,0.26%,30.17,15.15,3.09,107.35,17.49,54.68,111.08,0.08
01-Apr-20,NWAS,652,64.06%,72.28%,179,19.84%,15,1.66%,1,0.11%,125.2,32.57,3.51,100.92,22.31,36.15,335.34,0.14
01-Apr-20,SCAS,234,73.88%,43.09%,28,5.16%,6,1.10%,0,0.00%,31.43,6.77,1.1,81.03,16.2,22.64,146.58,0.06
01-Apr-20,SECAmb,620,90.65%,69.51%,111,12.44%,3,0.34%,1,0.11%,93.42,16.64,1.22,114.72,20.1,31.01,298.85,0.1
01-Apr-20,SWAS,281,100.00%,29.89%,58,6.17%,12,1.28%,2,0.21%,52.5,16.76,4.38,120.28,13.3,25.82,208.32,0.06
01-Apr-20,WMAS,890,86.18%,67.63%,122,9.27%,4,0.30%,1,0.08%,121.82,16.09,0.87,91,19.47,28.92,426.98,0.09
01-Apr-20,YAS,221,73.71%,30.32%,50,6.86%,1,0.14%,0,0.00%,35.07,6.3,0.01,60.48,11.97,25.09,145.47,0.05
02-Apr-20,EEAST,684,88.19%,72.69%,176,18.70%,35,3.72%,16,1.70%,158.36,62.66,25.11,194.82,23.96,42.94,375.75,0.17
02-Apr-20,EMAS,639,100.00%,65.61%,159,16.32%,14,1.44%,3,0.31%,335.22,81.53,9.13,171.67,21.24,34.53,344.77,0.34
02-Apr-20,IOW,20,40.63%,153.85%,6,46.15%,3,23.08%,1,7.69%,5.81,2.78,0.81,91.87,52.98,48.62,11.48,0.45
02-Apr-20,LAS,"1,047",94.83%,77.10%,361,26.58%,62,4.57%,62,4.57%,304.86,137.42,64.55,348.45,27.39,47.67,620.02,0.22
02-Apr-20,NEAS,191,66.67%,54.57%,27,7.71%,2,0.57%,0,0.00%,27.77,12.33,2.19,84.48,17.82,54.38,103.95,0.08
02-Apr-20,NWAS,584,61.66%,66.51%,169,19.25%,9,1.03%,1,0.11%,117.26,31.36,2.66,104.9,21.67,37.42,317.04,0.13
02-Apr-20,SCAS,245,76.64%,48.80%,34,6.77%,2,0.40%,2,0.40%,32.27,5.45,1.12,94.62,16.69,23.77,139.63,0.06
02-Apr-20,SECAmb,606,89.72%,69.42%,132,15.12%,8,0.92%,3,0.34%,103.84,23.94,3.5,111.95,20.96,32.46,304.93,0.12
02-Apr-20,SWAS,293,100.00%,30.58%,55,5.74%,5,0.52%,1,0.10%,45.84,10.84,0.94,99.87,12.77,24.2,203.89,0.05
02-Apr-20,WMAS,848,85.51%,65.63%,119,9.21%,11,0.85%,7,0.54%,124.26,23.06,6.19,129.7,19.56,29.48,421.14,0.1
02-Apr-20,YAS,230,75.83%,34.90%,47,7.13%,5,0.76%,1,0.15%,39.97,10.93,1.49,93.5,13.35,25.72,146.66,0.06
03-Apr-20,EEAST,681,87.21%,72.91%,164,17.56%,12,1.28%,2,0.21%,123.54,28.67,2.78,100.7,21.65,34.66,337.09,0.13
03-Apr-20,EMAS,619,100.00%,65.36%,132,13.94%,6,0.63%,0,0.00%,312.08,57.4,3.19,85.07,19.84,31.74,313.1,0.33
03-Apr-20,IOW,12,28.00%,171.43%,5,71.43%,1,14.29%,0,0.00%,3.14,1.08,0.02,61.23,62.38,36.35,7.28,0.45
